transaction_id,customer_id,timestamp,amount,transaction_type,device_type,ip_address,merchant_category,merchant_country,international,account_age_days,failed_logins,device_fingerprint,fraud
1.0,4174.0,2023-07-07,46.13,POS Purchase,Mobile,,Retail,UK,1.0,,,DF-954262,0.0
2.0,4507.0,2023-11-18,247.09,ATM Withdrawal,Tablet,192.168.239.80,Retail,IN,0.0,737.0,1.0,DF-700328,0.0
3.0,1860.0,2023-01-13,4.28,Transfer,Tablet,192.168.137.81,,IN,0.0,2456.0,1.0,DF-863448,0.0
4.0,2294.0,2023-07-03,108.58,ATM Withdrawal,Tablet,192.168.235.135,Electronics,FR,0.0,3603.0,3.0,DF-141384,0.0
5.0,2130.0,2023-04-21,299.1,Transfer,Desktop,192.168.250.25,Retail,US,0.0,1039.0,3.0,DF-465338,0.0
6.0,2095.0,2023-10-17,82.72,Online Purchase,Tablet,192.168.2.58,Retail,UK,0.0,,0.0,DF-321008,0.0
7.0,4772.0,2023-10-22,165.9,Online Purchase,Desktop,192.168.115.215,Food,US,1.0,3878.0,1.0,DF-793731,0.0
8.0,4092.0,2023-08-03,45.88,ATM Withdrawal,Desktop,192.168.130.165,Food,,0.0,3346.0,3.0,DF-151523,0.0
9.0,2638.0,2023-04-30,270.96,Online Purchase,Tablet,192.168.129.226,Food,CN,0.0,801.0,0.0,DF-598873,0.0
10.0,3169.0,2023-02-24,10.74,Transfer,Tablet,192.168.144.200,Others,IN,0.0,3519.0,1.0,DF-520631,0.0
11.0,1466.0,2023-01-27,382.84,Online Purchase,Mobile,192.168.35.85,Retail,,0.0,260.0,3.0,DF-728210,0.0
12.0,2238.0,2023-04-28,44.18,POS Purchase,Mobile,192.168.222.246,Food,CN,1.0,239.0,0.0,DF-588271,0.0
13.0,1330.0,2023-08-09,414.93,POS Purchase,Desktop,192.168.97.215,Food,IN,0.0,1215.0,1.0,DF-943837,0.0
14.0,2482.0,2023-08-19,86.94,ATM Withdrawal,Desktop,192.168.123.72,Travel,US,0.0,1430.0,1.0,DF-409840,0.0
15.0,3135.0,2023-02-22,256.52,ATM Withdrawal,Tablet,192.168.109.121,Travel,,1.0,2943.0,1.0,DF-328597,0.0
16.0,4444.0,2023-10-22,76.9,ATM Withdrawal,Tablet,192.168.234.129,Food,IN,0.0,1223.0,3.0,DF-775302,0.0
17.0,4171.0,2023-11-17,472.7,ATM Withdrawal,Mobile,,Others,FR,0.0,928.0,0.0,,0.0
18.0,3919.0,2023-08-21,27.08,Transfer,Tablet,192.168.26.164,Electronics,DE,1.0,3440.0,1.0,DF-365060,0.0
19.0,4735.0,2023-06-07,39.33,Transfer,Desktop,192.168.198.149,Travel,CN,0.0,3903.0,2.0,DF-562196,0.0
20.0,1130.0,2023-09-26,135.86,POS Purchase,Tablet,192.168.67.13,Travel,DE,0.0,1527.0,0.0,DF-723106,0.0
21.0,2685.0,2023-01-21,17.1,Transfer,Mobile,192.168.97.22,Retail,CN,0.0,,,DF-981387,0.0
22.0,4380.0,2023-02-22,43.63,Online Purchase,Desktop,192.168.171.233,Retail,FR,0.0,902.0,,DF-155346,0.0
23.0,1769.0,2023-10-02,575.65,,Mobile,192.168.216.192,Food,US,0.0,2440.0,0.0,DF-547080,0.0
24.0,3391.0,2023-11-09,750.06,,Mobile,192.168.114.246,,IN,0.0,3580.0,1.0,DF-321282,0.0
25.0,2515.0,2023-10-08,94.4,ATM Withdrawal,Desktop,192.168.111.206,Retail,CN,0.0,1608.0,1.0,DF-321506,0.0
26.0,4485.0,,513.53,Transfer,Mobile,192.168.95.77,Electronics,IN,0.0,504.0,3.0,DF-110831,0.0
27.0,3853.0,2023-01-31,157.41,POS Purchase,Tablet,192.168.232.60,Others,US,0.0,224.0,0.0,DF-392280,0.0
28.0,,2023-12-03,62.87,Transfer,Tablet,192.168.84.182,Food,UK,0.0,3010.0,0.0,DF-606259,0.0
29.0,2215.0,,242.4,Transfer,Mobile,192.168.238.249,Electronics,UK,0.0,1065.0,1.0,DF-493004,1.0
30.0,1955.0,2023-01-23,215.12,Transfer,Tablet,192.168.70.227,Food,US,0.0,3596.0,2.0,DF-294437,0.0
31.0,3324.0,2023-02-01,904.26,POS Purchase,Mobile,192.168.84.49,Others,UK,0.0,2036.0,1.0,DF-662592,0.0
32.0,2184.0,2023-03-15,61.59,ATM Withdrawal,Tablet,192.168.231.139,Food,IN,0.0,2861.0,1.0,DF-534097,0.0
33.0,1459.0,2023-01-10,222.98,Online Purchase,Mobile,192.168.206.14,Retail,DE,0.0,,,,0.0
34.0,4385.0,2023-02-23,,ATM Withdrawal,Tablet,192.168.144.33,,CN,1.0,558.0,2.0,DF-809149,0.0
35.0,1021.0,2023-02-21,24.13,POS Purchase,Desktop,192.168.235.34,Electronics,DE,,300.0,0.0,,0.0
36.0,3300.0,,0.79,ATM Withdrawal,Desktop,192.168.38.229,Electronics,DE,,2615.0,2.0,DF-530225,0.0
37.0,1747.0,2023-06-09,1505.04,ATM Withdrawal,Tablet,192.168.205.182,Travel,IN,0.0,1610.0,0.0,DF-700989,0.0
38.0,,2023-01-14,324.17,Online Purchase,Mobile,192.168.186.132,Electronics,UK,0.0,1951.0,0.0,DF-899978,0.0
39.0,4632.0,2023-06-27,309.03,ATM Withdrawal,,192.168.29.131,Travel,US,0.0,,2.0,DF-453753,0.0
40.0,1474.0,2023-02-22,142.56,ATM Withdrawal,Mobile,192.168.254.142,Retail,FR,1.0,2142.0,2.0,DF-924718,0.0
41.0,2082.0,2023-12-01,71.35,ATM Withdrawal,Tablet,,Electronics,US,0.0,2939.0,1.0,DF-719359,0.0
,,,,Transfer,Tablet,192.168.236.73,Others,CN,0.0,3581.0,1.0,DF-941314,0.0
