transaction_id,customer_id,transaction_amount,transaction_type,transaction_time,device_type,location,merchant_category,account_age_days,num_prev_transactions,avg_transaction_amount,is_international,is_high_risk_country,failed_login_attempts,card_present,fraud
1,4174,180.35,Online Purchase,2023-01-01 00:00:00,Mobile,Rural,Travel,1753.0,441,239.66,0,0,3.0,0,0
2,4507,105.99,ATM Withdrawal,2023-01-01 01:00:00,Desktop,Urban,Electronics,1654.0,260,75.8,0,0,2.0,0,0
3,1860,,ATM Withdrawal,2023-01-01 02:00:00,Mobile,Suburban,Clothing,445.0,332,215.77,0,0,4.0,0,0
4,2294,,Online Purchase,2023-01-01 03:00:00,Desktop,Urban,Electronics,348.0,231,180.2,0,0,,0,0
5,2130,194.96,Online Purchase,2023-01-01 04:00:00,Mobile,Urban,Clothing,,247,57.9,0,0,,0,0
6,2095,328.76,ATM Withdrawal,2023-01-01 05:00:00,Tablet,Suburban,Electronics,1719.0,254,242.51,0,0,2.0,0,0
7,4772,369.05,Online Purchase,2023-01-01 06:00:00,Desktop,Urban,Clothing,1015.0,460,44.21,0,0,2.0,0,0
8,4092,131.83,Online Purchase,2023-01-01 07:00:00,Mobile,Urban,,1027.0,82,154.85,0,1,4.0,1,0
9,2638,300.53,Online Purchase,2023-01-01 08:00:00,Desktop,Rural,Entertainment,1715.0,264,139.44,0,1,3.0,0,0
10,3169,223.47,Online Purchase,2023-01-01 09:00:00,Desktop,Urban,Travel,359.0,2,245.74,1,0,3.0,1,0
11,1466,257.66,Online Purchase,2023-01-01 10:00:00,Mobile,Urban,Clothing,,444,139.72,0,0,1.0,1,0
12,2238,135.69,POS Purchase,2023-01-01 11:00:00,Desktop,Suburban,Travel,1197.0,222,214.41,0,0,4.0,1,1
13,1330,200.7,POS Purchase,2023-01-01 12:00:00,Desktop,Urban,Clothing,1300.0,249,153.91,0,0,2.0,0,1
14,2482,327.49,Online Purchase,2023-01-01 13:00:00,Desktop,Urban,Entertainment,1116.0,191,182.97,0,0,4.0,0,0
15,3135,101.46,ATM Withdrawal,2023-01-01 14:00:00,Desktop,Suburban,Food,1735.0,45,87.49,0,0,4.0,0,0
16,4444,327.96,POS Purchase,2023-01-01 15:00:00,Desktop,Urban,Food,1982.0,439,76.69,0,0,0.0,1,0
17,4171,179.31,Transfer,2023-01-01 16:00:00,Desktop,Suburban,Travel,1962.0,294,218.78,0,0,1.0,0,0
18,3919,36.28,Transfer,2023-01-01 17:00:00,Tablet,Urban,Entertainment,,268,54.25,0,0,3.0,0,0
19,4735,5.0,ATM Withdrawal,2023-01-01 18:00:00,Mobile,Suburban,Travel,1556.0,40,69.28,0,0,0.0,0,0
20,1130,90.12,Transfer,2023-01-01 19:00:00,Mobile,Urban,Food,1289.0,138,283.46,0,0,1.0,0,0
21,2685,158.24,ATM Withdrawal,2023-01-01 20:00:00,Desktop,Rural,Electronics,1450.0,40,90.93,0,0,,0,0
22,4380,366.29,ATM Withdrawal,2023-01-01 21:00:00,Tablet,Suburban,Travel,830.0,330,110.52,0,0,1.0,0,0
23,1769,27.28,Online Purchase,2023-01-01 22:00:00,Mobile,Urban,Clothing,152.0,493,197.29,0,0,1.0,0,0
24,3391,322.09,Online Purchase,2023-01-01 23:00:00,Mobile,Rural,Food,299.0,174,143.3,0,0,4.0,0,0
25,2515,,ATM Withdrawal,2023-01-02 00:00:00,Mobile,Urban,Clothing,37.0,432,176.52,0,0,1.0,0,0
26,4485,32.67,POS Purchase,2023-01-02 01:00:00,Desktop,Suburban,Entertainment,759.0,448,60.49,0,0,2.0,0,0
27,3853,381.56,ATM Withdrawal,2023-01-02 02:00:00,Tablet,Suburban,Food,371.0,290,208.27,0,0,2.0,0,0
28,3433,952.45,ATM Withdrawal,2023-01-02 03:00:00,Mobile,Urban,Food,715.0,418,63.84,0,1,2.0,0,0
29,2215,259.54,Online Purchase,2023-01-02 04:00:00,Mobile,Urban,Travel,1691.0,322,229.36,0,0,2.0,0,0
30,1955,307.21,ATM Withdrawal,2023-01-02 05:00:00,Tablet,Urban,Travel,1950.0,387,166.61,0,0,,0,0
31,3324,1037.54,Online Purchase,2023-01-02 06:00:00,Mobile,Urban,Clothing,,279,248.53,0,0,3.0,0,0
32,2184,186.02,Online Purchase,2023-01-02 07:00:00,Desktop,Urban,Travel,857.0,93,68.35,1,0,3.0,0,0
33,1459,73.6,POS Purchase,2023-01-02 08:00:00,Mobile,Urban,Electronics,,351,125.71,0,0,1.0,0,0
34,4385,363.45,Online Purchase,2023-01-02 09:00:00,Desktop,Urban,Food,365.0,368,257.11,0,0,3.0,0,0
35,1021,190.64,POS Purchase,2023-01-02 10:00:00,Desktop,Suburban,Entertainment,777.0,339,243.64,0,0,0.0,0,0
36,3300,174.07,POS Purchase,2023-01-02 11:00:00,Desktop,Urban,Food,890.0,419,290.41,0,0,2.0,1,0
37,1747,58.51,Online Purchase,2023-01-02 12:00:00,Tablet,Urban,Clothing,1882.0,204,82.15,0,0,2.0,1,0
38,3904,282.39,ATM Withdrawal,2023-01-02 13:00:00,Tablet,Urban,Travel,,55,170.93,0,0,2.0,1,0
39,4632,17.04,POS Purchase,2023-01-02 14:00:00,,Suburban,,145.0,230,25.01,0,0,3.0,0,0
40,1474,516.16,Online Purchase,2023-01-02 15:00:00,Mobile,Suburban,Travel,820.0,259,290.27,0,0,3.0,1,0
41,2082,78.85,Online Purchase,2023-01-02 16:00:00,Mobile,Urban,Clothing,1442.0,219,69.04,0,0,4.0,0,0
42,3558,27.34,ATM Withdrawal,2023-01-02 17:00:00,Mobile,Suburban,Travel,1138.0,167,273.32,0,0,4.0,1,0
43,4753,116.81,ATM Withdrawal,2023-01-02 18:00:00,Tablet,Suburban,Entertainment,1685.0,170,209.93,0,0,3.0,0,0
44,3047,8.68,Online Purchase,2023-01-02 19:00:00,Desktop,Rural,Clothing,1949.0,498,282.32,0,0,2.0,0,0
45,4547,230.8,Online Purchase,2023-01-02 20:00:00,Tablet,Urban,Food,79.0,313,89.5,0,0,3.0,0,1
46,3747,466.0,ATM Withdrawal,2023-01-02 21:00:00,Tablet,Urban,Food,,317,116.65,0,0,0.0,0,0
47,1975,363.12,POS Purchase,2023-01-02 22:00:00,Desktop,Urban,Entertainment,1201.0,390,66.03,0,0,4.0,0,0
48,2806,27.25,Online Purchase,2023-01-02 23:00:00,Desktop,Urban,Electronics,584.0,136,138.28,0,0,2.0,1,0
49,1189,27.0,POS Purchase,2023-01-03 00:00:00,Tablet,Suburban,Travel,,277,285.3,0,0,4.0,1,1
50,4005,335.79,POS Purchase,2023-01-03 01:00:00,Desktop,Urban,Food,,259,179.93,0,0,1.0,0,0
51,3734,516.07,ATM Withdrawal,2023-01-03 02:00:00,Desktop,Suburban,Entertainment,1271.0,383,136.52,0,0,1.0,0,0
52,4005,123.49,Online Purchase,2023-01-03 03:00:00,Desktop,Urban,Travel,1990.0,419,110.96,0,0,1.0,1,0
53,1562,138.22,POS Purchase,2023-01-03 04:00:00,Mobile,Urban,Clothing,535.0,480,183.73,0,0,3.0,1,0
54,2899,76.62,Online Purchase,2023-01-03 05:00:00,Desktop,Rural,Entertainment,1846.0,453,222.5,0,0,4.0,1,0
55,4638,449.36,Transfer,2023-01-03 06:00:00,Mobile,Rural,Clothing,1425.0,450,133.9,0,0,0.0,0,0
56,2267,207.07,ATM Withdrawal,2023-01-03 07:00:00,Mobile,Suburban,Clothing,263.0,290,84.65,0,0,4.0,0,0
57,3879,68.01,ATM Withdrawal,2023-01-03 08:00:00,Desktop,Urban,,,288,183.8,0,0,2.0,1,0
58,2528,70.99,POS Purchase,2023-01-03 09:00:00,Desktop,Rural,Travel,1168.0,134,122.36,0,0,3.0,1,0
